Username,Location,Text,ExpectedSentiment,Rating,Score
@hharrell446.,"West Jamesville, Montenegro",Feeling really down after that experience 😞 #trending #viral,Sadness,1.9,-0.561
@sandy12399.,"North Scott, Turks and Caicos Islands",Loving the vibes here 🥰 #blessed #trending #viral,Joy,4.1,0.908
@michelle52803,"Cherylside, Sudan",Whoa! Didn't expect this to work so well 😲✨ #trending #viral,Surprise,4.2,0.949
@kellygarcia311_,"Jordanchester, Liberia",It's just so sad that it turned out this way 😔 #trending #viral,Sadness,2.6,-0.806
@danielmacdonald188.,"Richardville, Cote d'Ivoire","Hope everything turns out fine, but still nervous 😟 Threat wait movie value however base happen soldier.",Fear,1.8,-0.876
@boydcolin404_,"Davidshire, Mali",Honestly terrified of what might happen next 😱 Threat spring politics act enter rest trouble learn save production will million focus less accept season around. #trending #viral,Fear,1.2,-0.706
@rebecca3047.,"New Mathew, Albania",Super happy with the results! Thanks @company 💕 #trending #viral,Joy,4.3,0.57
@xswanson855,"Port Bianca, Palau",Unexpectedly amazing features 🔍👏 #trending #viral,Surprise,4.5,0.644
@ysmith560,"Samanthaberg, Serbia",Totally grossed out 🤮 This is horrible!,Disgust,1.7,-0.838
@melissa52382.,"Lamchester, Sao Tome and Principe","Hope everything turns out fine, but still nervous 😟 Score including again term individual past. #trending #viral",Fear,2.3,-0.731
@brian36503,"Jonesmouth, French Southern Territories","It’s okay, nothing special. Just average.",Neutral,2.6,-0.167
@vpeterson955_,"New Markfurt, Christmas Island",A+ service and very user-friendly interface 💡 #trending #viral,Positive,4.9,0.614
@amoody202_,"Richardbury, Djibouti","Neither good nor bad, just meh 🤷 #trending #viral",Neutral,2.3,-0.106
@sblack204,"Sherribury, Czech Republic",So impressed with the build quality and finish ⭐⭐⭐⭐⭐ Artist computer today area for weight land scene read six message space. #trending #viral,Positive,4.3,0.752
@jennifer38455.,"Weissfort, Libyan Arab Jamahiriya","Okay experience, not noteworthy.",Neutral,3.7,-0.123
@karen08261_,"Brittanytown, Bahamas",Loving the vibes here 🥰 #blessed Through too central subject worry subject. #trending #viral,Joy,4.5,0.825
@richardballard627,"New Brandonberg, Mali",Feeling really down after that experience 😞,Sadness,2.2,-0.964
@bwalsh120.,"Melissaside, Turkey",Unexpectedly amazing features 🔍👏 Happen social prevent threat support enough wrong point foreign choose including.,Surprise,4.4,0.543
@ewilliams534_,"West Emilyside, Guernsey","Okay experience, not noteworthy.",Neutral,2.8,0.159
@maryhanson542_,"Lake Haydenside, Saint Helena",Wow! That escalated quickly 😳🚀 #trending #viral,Surprise,4.2,0.786
@sosacole945_,"West Alexander, Denmark",So impressed with the build quality and finish ⭐⭐⭐⭐⭐ Hit represent mind fall for bit.,Positive,4.3,0.55
@laura75958,"Jasonmouth, British Virgin Islands",Totally grossed out 🤮 This is horrible!,Disgust,1.4,-0.6
@haynesmichelle842,"Port Shellystad, Kenya",Can't believe how good this is! Made my day 😊 #joy Write suggest time data.,Joy,4.3,0.584
@mirandawilkins98_,"South Jakeborough, Belize",Can't believe how disappointed I am right now 😢 Meet they man wonder group later technology economic go toward similar see campaign amount individual. #trending #viral,Sadness,1.3,-0.524
@stephanie93421.,"South Sarahstad, Burundi",Super happy with the results! Thanks @company 💕 #trending #viral,Joy,4.9,0.544
@ywebb549.,"Hubbardland, Cuba","Filthy, broken, and completely disappointing 😡",Disgust,1.5,-0.649
@karl69292,"Pearsonhaven, Venezuela",Such a disgusting experience. Never again 😤 Capital father pressure next close early within.,Disgust,1.6,-0.808
@david72563.,"Belindaberg, Ecuador",Such a disgusting experience. Never again 😤,Disgust,2.8,-0.789
@diazchristina396,"Port Mariahland, Lithuania",Great value for money! Would definitely recommend 👍,Positive,4.3,0.948
@michael75736.,"New Haley, Wallis and Futuna",Everything went smoothly from order to delivery 📦,Positive,4.1,0.819
@jamesbell294,"Port Robert, Sudan",It's just so sad that it turned out this way 😔 #trending #viral,Sadness,2.0,-0.98
@michael59617_,"Nunezhaven, Pitcairn Islands",This is absolutely unacceptable 😡 #fail #trending #viral,Anger,2.9,-0.76
@cummingslaura884,"Evansview, Spain",Such a disgusting experience. Never again 😤 Enter begin law where question feeling modern about mother simply something idea place. #trending #viral,Disgust,1.3,-0.774
